ship_name,ship_id,country,maximum_dispersion,firing_range,initial_he_velocity,initial_ap_velocity,maximum_speed
U-69,U-69,Germany,5,4,,,27
U-190,U-190,Germany,5,5,,,29
U-2501,U-2501,Germany,5,5,,,27
U-4501,U-4501,Germany,5,5,,,20
I-56,I-56,Japan,44,44,,,29
Undine,Undine,U.K.,5,4,,,20
Sturdy,Sturdy,U.K.,5,5,,,25
Alliance,Alliance,U.K.,5,5,,,31
Thrasher,Thrasher,U.K.,36,36,,,26
Cachalot,Cachalot,U.S.A.,5,4,,,27
Salmon,Salmon,U.S.A.,5,5,,,33
Balao,Balao,U.S.A.,5,5,,,30
Gato,Gato,U.S.A.,5,4,,,34
Archerfish,Archerfish,U.S.A.,64,6,,,33
S-189,S-189,U.S.S.R.,5,5,,,30
Xin_Zhong_Guo_14,Xin_Zhong_Guo_14,Pan-Asia,36,6,,,31
Groningen,Groningen,Netherlands,107,12,825,825,36
Tromp,Tromp,Netherlands,114,13,900,900,33
Sampson,Sampson,U.S.A.,73,7,884,884,29
Smith,Smith,U.S.A.,64,6,823,823,28
Wickes,Wickes,U.S.A.,027,8,884,884,34
Clemson,Clemson,U.S.A.,73,7,884,884,35
DD_214,DD_214,,,,,,
Nicholas,Nicholas,U.S.A.,96,10,960,960,37
Hill,Hill,U.S.A.,100,11,792,792,37
Farragut,Farragut,U.S.A.,100,11,792,792,36
Monaghan,Monaghan,U.S.A.,108,12,792,792,36
Mahan,Mahan,U.S.A.,102,10,792,792,35
Sims,Sims,U.S.A.,111,12,792,792,38
Hughes,Hughes,,,,,,
Sims_B,Sims_B,U.S.A.,111,12,792,792,38
Benson,Benson,U.S.A.,101,10,792,792,38
Osborne,Osborne,,,,,,
Kidd,Kidd,U.S.A.,105,12,792,792,38
Fletcher,Fletcher,U.S.A.,103,11,792,792,36
Christopher,Christopher,,,,,,
Benham,Benham,U.S.A.,109,12,792,792,36
Halford,Halford,U.S.A.,91,10,792,792,38
Black_B,Black_B,U.S.A.,111,12,792,792,35
Black,Black,U.S.A.,111,12,792,792,35
Johnston,Johnston,U.S.A.,109,12,792,,38
GQ_Johnny,GQ_Johnny,,,,,,
Frank_Friday,Frank_Friday,,,,,,
Gearing,Gearing,U.S.A.,98,11,792,792,36
Burrows,Burrows,,,,,,
Somers,Somers,U.S.A.,102,11,792,792,38
Forrest_Sherman,Forrest_Sherman,U.S.A.,109,12,808,,33
Laffey,Laffey,,,,,,
Hull,Hull,,,,,,
Joshua_Humphreys,Joshua_Humphreys,U.S.A.,105,12,808,808,37
Vampire,Vampire,Commonwealth,90,10,805,805,34
Haida,Haida,Commonwealth,107,12,808,808,36
Huron,Huron,Commonwealth,107,12,808,808,36
Vampire_II,Vampire_II,Commonwealth,110,12,746,746,35
Tátra,Tátra,Europe,83,8,880,880,32
Romulus,Romulus,Europe,86,8,840,840,34
Klas_Horn,Klas_Horn,Europe,86,8,800,800,37
Visby,Visby,Europe,79,8,900,900,39
Muavenet,Muavenet,Europe,93,9,808,,35
Kalmar,Kalmar,Europe,88,9,900,900,39
Västerås,Västerås,Europe,89,9,900,900,38
Stord,Stord,Europe,97,10,808,,36
Skåne,Skåne,Europe,90,9,850,850,35
Grom,Grom,Europe,89,9,900,,39
Błyskawica,Błyskawica,Europe,105,12,900,900,39
Stord_'43,Stord_'43,Europe,103,11,808,808,36
Öland,Öland,Europe,90,9,850,850,35
Split,Split,Europe,92,10,840,,38
Orkan,Orkan,Europe,102,11,774,774,35
Błyskawica_'44,Błyskawica_'44,,,,,,
Östergötland,Östergötland,Europe,84,9,850,850,35
Lambros_Katsonis,Lambros_Katsonis,Europe,93,10,840,,38
Velos,Velos,Europe,106,12,792,792,38
Friesland,Friesland,Europe,107,12,825,825,36
Jäger,Jäger,Europe,85,9,880,880,37
Halland,Halland,Europe,93,10,825,825,35
Gdańsk,Gdańsk,Europe,105,12,840,,41
Småland,Småland,Europe,100,11,825,825,35
Ragnar,Ragnar,Europe,60,13,900,900,35
Södermanland,Södermanland,,,,,,
Dalarna,Dalarna,Europe,98,11,825,825,36
V-25,V-25,Germany,77,7,750,750,36
G-101,G-101,Germany,76,8,715,715,33
V-170,V-170,Germany,82,8,715,715,35
T-22,T-22,Germany,83,9,780,780,34
Ernst_Gaede,Ernst_Gaede,Germany,89,9,830,830,36
T-61,T-61,Germany,102,11,830,830,35
Karl_von_Schönberg,Karl_von_Schönberg,Germany,104,11,835,835,36
Leberecht_Maass,Leberecht_Maass,Germany,96,9,830,830,37
Z-31,Z-31,Germany,51,10,835,835,36
Z-39,Z-39,Germany,103,11,835,835,36
Z-32,Z-32,,,,,,
Z,Z,,,,,,
Z,Z,,,,,,
Z,Z,,,,,,
Z-23,Z-23,Germany,88,9,830,830,37
Gustav,Gustav,Germany,56,10,835,835,36
Z-35,Z-35,Germany,105,12,830,830,36
