ship_name,ship_id,country,maximum_dispersion,firing_range,initial_he_velocity,initial_ap_velocity,maximum_speed
Admiral_Schröder,Admiral_Schröder,Germany,202,18,850,855,32
Blücher,Blücher,,,,,,
Roon_CLR,Roon_CLR,Germany,155,17,925,925,32
AL_Ägir,AL_Ägir,Germany,5,8,,,5
Hindenburg,Hindenburg,Germany,156,17,925,925,31
Hildebrand,Hildebrand,Germany,203,18,865,865,34
AL_Hindenburg,AL_Hindenburg,,,,,,
Clausewitz,Clausewitz,Germany,160,18,925,925,32
Orlan,Orlan,U.S.S.R.,101,9,870,,25
Diana,Diana,U.S.S.R.,103,11,753,792,19
Diana_Lima,Diana_Lima,U.S.S.R.,103,11,753,792,19
Novik,Novik,U.S.S.R.,102,9,823,823,25
Aurora,Aurora,U.S.S.R.,99,11,753,792,19
Bogatyr,Bogatyr,U.S.S.R.,111,10,753,792,24
Oleg,Oleg,U.S.S.R.,107,10,753,792,24
Varyag,Varyag,U.S.S.R.,108,10,753,792,25
AL_Avrora,AL_Avrora,U.S.S.R.,99,11,753,792,19
Svietlana,Svietlana,U.S.S.R.,103,10,823,823,29
Murmansk,Murmansk,U.S.S.R.,135,14,914,914,34
Kirov,Kirov,U.S.S.R.,145,16,800,800,35
Kotovsky,Kotovsky,U.S.S.R.,141,14,880,880,35
Krasny_Krym,Krasny_Krym,U.S.S.R.,129,14,861,861,29
Mikoyan,Mikoyan,U.S.S.R.,144,16,920,920,35
Budyonny,Budyonny,U.S.S.R.,147,15,950,950,35
Molotov,Molotov,U.S.S.R.,139,15,920,920,36
Admiral_Makarov,Admiral_Makarov,U.S.S.R.,145,16,960,960,32
Shchors,Shchors,U.S.S.R.,141,15,950,950,35
Lazo,Lazo,U.S.S.R.,152,17,950,950,33
Lazo_B,Lazo_B,U.S.S.R.,152,17,950,950,33
Chapayev,Chapayev,U.S.S.R.,152,15,950,950,33
Tallinn,Tallinn,U.S.S.R.,182,16,920,920,33
Mikhail_Kutuzov,Mikhail_Kutuzov,U.S.S.R.,164,19,950,950,33
Ochakov,Ochakov,U.S.S.R.,140,15,950,950,35
Pyotr_Bagration,Pyotr_Bagration,U.S.S.R.,160,18,920,930,34
Bagration,Bagration,"Ship=code for manual override -->
{{WoWs_Ship",,,,,
Dmitry_Pozharsky,Dmitry_Pozharsky,U.S.S.R.,157,18,1000,950,33
Dmitri_Donskoi,Dmitri_Donskoi,U.S.S.R.,155,16,920,920,36
Riga,Riga,U.S.S.R.,186,16,965,965,33
Kronshtadt,Kronshtadt,U.S.S.R.,241,18,920,900,33
Vyazma,Vyazma,,,,,,
Kozma_Minin,Kozma_Minin,U.S.S.R.,161,18,925,925,36
Moskva,Moskva,U.S.S.R.,167,19,985,985,34
Alexander_Nevsky,Alexander_Nevsky,U.S.S.R.,164,19,1000,1000,36
Petropavlovsk,Petropavlovsk,U.S.S.R.,190,18,995,995,32
Stalingrad,Stalingrad,U.S.S.R.,218,20,950,950,35
Smolensk_B,Smolensk_B,U.S.S.R.,118,13,950,950,35
Smolensk,Smolensk,U.S.S.R.,118,13,950,950,35
Sevastopol,Sevastopol,U.S.S.R.,164,19,820,820,33
Komissar,Komissar,U.S.S.R.,151,17,940,940,35
Vladimir_Monomakh,Vladimir_Monomakh,U.S.S.R.,164,19,1000,1000,36
Petrozavodsk,Petrozavodsk,,,,,,
Novosibirsk,Novosibirsk,U.S.S.R.,195,19,900,900,34
Eritrea,Eritrea,Italy,89,9,750,,20
Nino_Bixio,Nino_Bixio,Italy,104,10,815,850,26
Taranto,Taranto,Italy,104,10,,835,28
Alberto_di_Giussano,Alberto_di_Giussano,Italy,128,12,850,850,36
Raimondo_Montecuccoli,Raimondo_Montecuccoli,Italy,126,13,850,850,37
Genova,Genova,Italy,131,14,811,840,34
Trento,Trento,Italy,134,14,850,840,35
Duca_d'Aosta,Duca_d'Aosta,Italy,129,14,950,1000,36
Zara,Zara,Italy,144,14,850,900,32
Duca_degli_Abruzzi,Duca_degli_Abruzzi,Italy,136,15,995,910,35
Francesco_Ferruccio,Francesco_Ferruccio,Italy,153,17,995,,36
Gorizia,Gorizia,Italy,140,15,850,900,33
AL_Gorizia,AL_Gorizia,,,,,,
Amalfi,Amalfi,Italy,134,14,860,910,37
Brindisi,Brindisi,Italy,140,15,860,910,36
Michelangelo,Michelangelo,Italy,190,17,,830,33
Ferrante_Gonzaga,Ferrante_Gonzaga,,,,,,
Venezia,Venezia,Italy,151,17,860,910,36
Napoli,Napoli,Italy,177,16,954,945,35
Napoli_B,Napoli_B,Italy,177,16,954,945,35
Varese,Varese,,,,,,
Ravenna,Ravenna,,,,,,
Piemonte,Piemonte,Italy,155,17,875,945,37
Hércules,Hércules,Pan-America,101,8,811,,20
Almirante_Barroso,Almirante_Barroso,Pan-America,90,9,675,853,20
Almirante_Abreu,Almirante_Abreu,Pan-America,83,9,853,853,20
Vicente_Guerrero,Vicente_Guerrero,Pan-America,109,11,890,900,25
Córdoba,Córdoba,Pan-America,109,11,,853,29
La_Argentina,La_Argentina,Pan-America,122,12,811,841,30
Almirante_Cochrane,Almirante_Cochrane,Pan-America,113,13,850,850,34
Coronel_Bolognesi,Coronel_Bolognesi,Pan-America,117,13,811,841,31
Nueve_de_Julio,Nueve_de_Julio,Pan-America,126,13,812,762,30
Ignacio_Allende,Ignacio_Allende,Pan-America,118,13,,812,33
Almirante_Grau,Almirante_Grau,Pan-America,143,16,900,900,32
Santander,Santander,Pan-America,118,13,,812,33
San_Martín,San_Martín,Pan-America,131,15,,812,34
Hashidate,Hashidate,Japan,83,9,825,,19
Chikuma,Chikuma,Japan,92,9,825,825,26
Tenryū,Tenryū,Japan,118,11,850,850,32
Katori,Katori,Japan,126,13,850,850,18
Yūbari,Yūbari,Japan,121,12,850,850,34
Kuma,Kuma,Japan,113,11,850,850,34
Iwaki_Alpha,Iwaki_Alpha,Japan,106,10,850,850,35
Furutaka,Furutaka,Japan,109,12,870,870,34
Agano,Agano,Japan,119,12,850,850,35
Yahagi,Yahagi,Japan,135,14,850,850,35
Aoba,Aoba,Japan,116,13,840,840,35
Gokase,Gokase,Japan,128,12,850,850,37
Myōkō,Myōkō,Japan,131,15,840,840,35
Omono,Omono,Japan,134,14,925,925,33
Tokachi,Tokachi,Japan,126,13,915,915,34
Maya,Maya,Japan,129,15,840,840,35
ARP_Myōkō,ARP_Myōkō,Japan,131,15,840,840,35
ARP_Ashigara,ARP_Ashigara,Japan,131,15,840,840,35
ARP_Haguro,ARP_Haguro,Japan,709,15,840,840,35
Southern_Dragon,Southern_Dragon,Japan,131,15,840,840,35
Eastern_Dragon,Eastern_Dragon,Japan,131,15,840,840,35
ARP_Nachi,ARP_Nachi,Japan,131,15,840,840,35
Mogami,Mogami,Japan,131,14,925,925,34
Tone,Tone,Japan,132,15,840,840,35
Atago,Atago,Japan,133,15,840,840,35
Shimanto,Shimanto,Japan,147,15,930,930,34
Atago_B,Atago_B,Japan,133,15,840,840,35
ARP_Takao,ARP_Takao,Japan,133,15,840,840,35
ARP_Maya,ARP_Maya,N/A,5,8,,,1
Tone_2,Tone_2,,,,,,
Tone_3,Tone_3,,,,,,
Ibuki,Ibuki,Japan,127,15,840,840,35
Takahashi,Takahashi,Japan,136,15,930,930,34
Azuma,Azuma,Japan,196,19,836,836,34
AL_Azuma,AL_Azuma,Japan,196,19,836,836,34
Chikuma_II,Chikuma_II,Japan,132,15,840,840,35
Chikuma_II_Golden,Chikuma_II_Golden,Japan,132,15,840,840,335
Suzuya,Suzuya,,,,,,
Suzuya_Golden,Suzuya_Golden,,,,,,
BA_Takahashi,BA_Takahashi,Japan,5,5,,,5
Azuma_B,Azuma_B,,,,,,
Zaō,Zaō,Japan,136,16,920,920,34
Yodo,Yodo,Japan,157,18,930,930,34
Yoshino,Yoshino,Japan,217,21,836,836,34
Yoshino_B,Yoshino_B,Japan,217,21,836,836,34
Kitakami,Kitakami,Japan,110,11,850,,36
Yari,Yari,Japan,137,15,920,920,34
Zaō_CLR,Zaō_CLR,Japan,5,8,,,5
Black_Swan,Black_Swan,U.K.,80,8,811,,19
Weymouth,Weymouth,U.K.,102,10,,773,26
Caledon,Caledon,U.K.,107,10,,853,29
Danae,Danae,U.K.,118,11,,853,30
Emerald,Emerald,U.K.,126,12,811,936,33
Hawkins,Hawkins,U.K.,205,12,844,844,30
Exeter,Exeter,U.K.,131,14,855,855,32
Leander,Leander,U.K.,123,11,811,841,32
Devonshire,Devonshire,U.K.,120,12,814,814,31
London,London,U.K.,133,13,855,855,32
Dido,Dido,U.K.,130,14,792,792,32
Orion_'44,Orion_'44,U.K.,133,14,811,841,32
Fiji,Fiji,U.K.,129,13,811,841,32
Surrey,Surrey,U.K.,135,13,814,814,30
Belfast,Belfast,U.K.,139,15,841,841,32
Edinburgh,Edinburgh,U.K.,129,14,811,841,32
Albemarle,Albemarle,U.K.,131,14,814,814,33
Cheshire,Cheshire,U.K.,144,16,841,841,34
Tiger_'59,Tiger_'59,U.K.,69,15,,768,30
Belfast_'43,Belfast_'43,U.K.,139,15,841,841,32
Hampshire,Hampshire,U.K.,148,16,811,884,30
Nottingham,Nottingham,U.K.,141,15,814,814,34
AL_Cheshire,AL_Cheshire,U.K.,144,16,841,841,34
STAR_Edinburgh,STAR_Edinburgh,U.K.,888,15,811,841,32
Neptune,Neptune,U.K.,147,15,746,768,33
Drake,Drake,U.K.,142,14,841,841,33
Monmouth,Monmouth,,,,,,
Minotaur,Minotaur,U.K.,141,15,,768,33
Goliath,Goliath,U.K.,148,16,841,841,33
Plymouth,Plymouth,U.K.,138,15,811,841,31
Gibraltar,Gibraltar,U.K.,149,16,746,841,32
Defence,Defence,U.K.,159,18,757,757,33
Edgar,Edgar,U.K.,147,16,,768,34
Bougainville,Bougainville,France,86,9,700,,19
Jurien_de_la_Gravière,Jurien_de_la_Gravière,France,102,9,770,770,23
Friant,Friant,France,113,11,840,790,30
